               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10908,            0.063792,            0.025635,           0.0022625,             0.36095,           0.0025677,          0.00068194,            0.090545,            0.039231,            0.022687,              0.0721,              0.0031,              0.0031
                   1,            0.082781,            0.051262,            0.019417,             0.79451,            0.025449,            0.023487,           0.0080781,             0.07695,            0.031219,            0.017492,            0.043243,           0.0062433,           0.0062433
                   2,            0.082236,            0.042969,            0.014344,             0.78341,            0.045026,            0.030903,            0.012062,            0.095383,            0.024327,            0.016259,            0.014329,            0.009329,            0.009329
                   3,            0.080256,            0.033074,             0.01394,             0.81894,            0.099189,            0.065403,             0.01824,            0.073841,            0.027901,            0.016158,             0.00973,             0.00973,             0.00973
                   4,            0.070637,            0.033783,            0.013032,             0.80741,            0.073353,            0.037795,             0.01326,            0.078066,            0.028114,            0.015325,             0.00973,             0.00973,             0.00973
                   5,            0.065461,            0.031154,            0.012926,             0.83783,             0.13772,             0.11081,            0.041536,            0.058719,            0.025023,            0.014523,             0.00964,             0.00964,             0.00964
                   6,            0.060065,            0.029718,            0.013178,             0.85466,             0.14554,             0.12457,            0.044677,            0.058717,            0.023355,            0.013606,             0.00955,             0.00955,             0.00955
                   7,            0.055556,             0.02789,            0.010934,             0.87872,              0.1144,              0.1226,            0.062622,            0.056931,            0.020015,            0.012765,             0.00946,             0.00946,             0.00946
                   8,            0.051606,            0.027701,            0.011297,             0.88004,             0.17066,             0.16025,            0.077402,            0.047654,            0.020559,            0.012389,             0.00937,             0.00937,             0.00937
                   9,            0.048942,            0.027061,            0.011373,             0.86867,             0.15286,             0.16837,            0.095451,            0.047197,            0.019631,            0.011922,             0.00928,             0.00928,             0.00928
                  10,            0.045487,            0.024358,            0.010316,             0.63421,             0.26814,              0.1982,              0.1101,            0.045434,            0.018675,            0.011321,             0.00919,             0.00919,             0.00919
                  11,            0.045882,            0.025976,           0.0096077,             0.69699,             0.27412,             0.19982,             0.10079,              0.0406,            0.018099,            0.011038,              0.0091,              0.0091,              0.0091
                  12,            0.042259,            0.024121,            0.009255,             0.75765,             0.30746,             0.29562,             0.15136,            0.040925,            0.017986,            0.010373,             0.00901,             0.00901,             0.00901
                  13,            0.043209,             0.02468,           0.0086871,             0.79472,             0.29998,             0.31295,             0.14811,            0.040463,            0.017626,            0.009589,             0.00892,             0.00892,             0.00892
                  14,            0.041206,            0.025222,           0.0077236,             0.73933,             0.35491,             0.30093,             0.16012,            0.040119,            0.018057,           0.0089875,             0.00883,             0.00883,             0.00883
                  15,            0.039509,            0.023355,           0.0068645,             0.83655,              0.3381,             0.35125,             0.19303,            0.035715,            0.018093,           0.0086736,             0.00874,             0.00874,             0.00874
                  16,            0.038423,            0.021969,           0.0073512,             0.81965,             0.39763,             0.38369,             0.19901,            0.036065,            0.017458,           0.0083707,             0.00865,             0.00865,             0.00865
                  17,            0.037273,            0.021814,           0.0064315,             0.90757,             0.38352,             0.41967,             0.23625,            0.035796,            0.016737,           0.0078307,             0.00856,             0.00856,             0.00856
                  18,            0.038045,            0.020176,           0.0066799,             0.85422,             0.37241,             0.38889,              0.1976,            0.034179,            0.016991,           0.0070394,             0.00847,             0.00847,             0.00847
                  19,            0.038205,            0.020905,           0.0058536,             0.85188,              0.3784,             0.40317,              0.2281,            0.035316,            0.016856,           0.0065779,             0.00838,             0.00838,             0.00838
                  20,            0.037218,            0.021654,           0.0050419,             0.87812,             0.38951,             0.38797,             0.21683,            0.036612,            0.017223,           0.0060627,             0.00829,             0.00829,             0.00829
                  21,            0.038179,            0.021634,           0.0053173,             0.89304,             0.38731,             0.40854,             0.20096,            0.031908,            0.017368,            0.006213,              0.0082,              0.0082,              0.0082
                  22,            0.035787,            0.022494,            0.005595,             0.92682,             0.37864,             0.42545,             0.21066,            0.034086,            0.017277,           0.0061258,             0.00811,             0.00811,             0.00811
                  23,            0.034605,            0.020095,           0.0049759,             0.87127,             0.38352,             0.40002,             0.21814,            0.031881,            0.016608,           0.0063205,             0.00802,             0.00802,             0.00802
                  24,             0.03454,            0.023758,           0.0051349,             0.84784,             0.35231,             0.40346,             0.23149,            0.035948,            0.016444,            0.006239,             0.00793,             0.00793,             0.00793
                  25,            0.033306,            0.021875,           0.0048029,             0.86067,             0.36942,              0.4096,             0.23783,             0.03222,            0.016636,           0.0062321,             0.00784,             0.00784,             0.00784
                  26,            0.033483,            0.018915,           0.0049324,             0.88031,             0.36406,             0.43032,             0.23372,            0.033578,            0.016915,           0.0058764,             0.00775,             0.00775,             0.00775
                  27,            0.034658,            0.021187,           0.0046184,             0.89351,              0.4014,             0.43877,             0.24223,            0.031277,            0.016681,           0.0056749,             0.00766,             0.00766,             0.00766
                  28,            0.033414,            0.019334,           0.0050604,             0.90316,             0.41165,             0.45212,             0.25644,            0.032836,            0.016085,           0.0056137,             0.00757,             0.00757,             0.00757
                  29,            0.033443,            0.020412,           0.0045916,             0.89394,             0.39963,             0.45274,             0.26048,            0.032711,            0.015948,           0.0054303,             0.00748,             0.00748,             0.00748
