                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5797,                 3.2219,                 1.3302,                0.65727,                0.18983,                0.13779,                0.07413,                 1.3508,                 3.4088,                   1.07,              0.0001875,              0.0001875,              0.0001875
                      2,                  1.333,                  1.389,                 1.1503,                0.75961,                 0.3104,                0.42852,                0.26688,                 1.1894,                 1.5654,                 1.0404,             0.00038366,             0.00038366,             0.00038366
                      3,                 1.3092,                 1.2929,                 1.1286,                0.38926,                0.31122,                0.19114,                0.13075,                 1.2659,                 4.2586,                 1.1058,             0.00057587,             0.00057587,             0.00057587
                      4,                 1.2857,                 1.1363,                 1.1455,                0.56508,                0.35913,                0.40665,                0.27533,                  1.298,                 2.0431,                 1.2148,             0.00076411,             0.00076411,             0.00076411
                      5,                 1.3126,                   1.15,                 1.1732,                0.60794,                 0.3884,                0.28332,                0.16585,                 1.3927,                 2.1874,                  1.276,             0.00094839,             0.00094839,             0.00094839
                      6,                 1.3022,                 1.2063,                 1.1353,                0.17406,                0.20227,                0.14412,                0.07862,                 1.4533,                 28.028,                  1.233,              0.0011287,              0.0011287,              0.0011287
                      7,                 1.3367,                 1.1434,                 1.1768,                 0.5662,                0.31934,                0.25817,                0.12666,                 1.3505,                 2.5745,                 1.2629,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2617,                 1.0388,                 1.1639,                0.64998,                0.52144,                 0.5321,                   0.29,                 1.3247,                 2.7348,                 1.2227,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.2138,                0.98529,                 1.1161,                0.73865,                0.29385,                0.26664,                 0.1496,                 1.3215,                 2.6964,                 1.2028,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.2524,                 0.9324,                  1.126,                0.75136,                0.49041,                0.72528,                0.44373,                 1.2473,                 1.8775,                 1.1856,               0.001151,               0.001151,               0.001151
                     11,                 1.2298,                0.90839,                 1.1173,                0.43569,                0.83951,                0.78738,                0.56167,                 1.1853,                 1.1997,                  1.099,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1689,                0.86051,                 1.0918,                0.86078,                0.31299,                 0.4989,                0.27166,                 1.4119,                 1.3227,                 1.2517,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.2177,                 0.8771,                  1.117,                0.89035,                0.26768,                0.65099,                0.41645,                 1.1843,                  1.339,                 1.0549,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.2269,                0.90107,                 1.1261,                0.81975,                0.42749,                0.72653,                0.41696,                 1.2479,                 1.3311,                 1.0922,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.1595,                0.85419,                 1.1126,                0.78307,                0.54282,                0.62529,                 0.3764,                 1.3149,                  1.428,                 1.1294,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.1787,                0.89335,                 1.1117,                0.80243,                0.77574,                0.80178,                0.47174,                 1.2671,                 2.0107,                   1.11,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.1652,                0.81949,                 1.0926,                0.66054,                0.80936,                0.81982,                0.50016,                  1.191,                 1.0172,                  1.077,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.1207,                0.80655,                 1.0896,                0.74561,                0.67832,                0.81554,                0.50363,                 1.1513,                0.84562,                  1.055,               0.001052,               0.001052,               0.001052
                     19,                 1.1324,                0.79349,                 1.0811,                0.64535,                 0.8241,                0.77052,                0.52099,                 1.1701,                0.87502,                 1.0902,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.1273,                  0.795,                 1.0666,                0.71465,                 0.8412,                0.81374,                0.55973,                 1.1977,                0.85583,                 1.0874,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.1096,                0.73953,                 1.0781,                0.68732,                0.84949,                0.80323,                0.55155,                 1.1924,                0.86773,                 1.0878,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0991,                0.74575,                 1.0597,                0.63991,                0.78395,                0.80262,                0.51839,                 1.1743,                0.84178,                 1.0594,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.1089,                0.73981,                 1.0696,                0.78108,                 0.7028,                0.74969,                0.51372,                 1.1741,                0.86879,                 1.0533,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.0833,                0.75473,                 1.0594,                0.89168,                0.68703,                0.82532,                0.52596,                 1.1546,                0.86966,                 1.0613,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.0737,                0.71291,                 1.0543,                0.82119,                0.74229,                0.89139,                0.57564,                 1.1209,                 0.8197,                 1.0206,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.1307,                0.75852,                 1.0754,                0.85201,                0.68065,                0.88299,                 0.5788,                 1.0981,                0.78885,                 1.0396,               0.000953,               0.000953,               0.000953
                     27,                 1.0233,                0.70881,                 1.0481,                0.72767,                0.41516,                0.78735,                0.55739,                 1.0934,                0.87558,                  1.031,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.0491,                 0.7036,                 1.0456,                0.88284,                0.54704,                0.86734,                0.61099,                 1.1371,                0.84977,                 1.0485,             0.00092825,             0.00092825,             0.00092825
                     29,                  1.054,                0.73409,                 1.0404,                0.67039,                0.91029,                0.87974,                0.61541,                 1.1392,                 0.7471,                 1.0453,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.0311,                0.67889,                 1.0332,                0.86096,                0.75292,                0.90009,                0.59888,                 1.1337,                 0.7995,                 1.0571,              0.0009035,              0.0009035,              0.0009035
                     31,                  1.025,                0.71027,                 1.0513,                0.80399,                0.75666,                0.88376,                0.59843,                 1.1223,                0.70727,                 1.0438,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.0733,                0.69725,                  1.047,                0.82681,                0.73477,                0.87435,                0.57129,                 1.1487,                0.70889,                 1.0522,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.0556,                0.66676,                 1.0433,                0.63511,                0.85554,                0.85403,                0.59253,                 1.0947,                0.74664,                 1.0283,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.0457,                0.65897,                 1.0116,                0.87051,                0.81565,                0.89363,                0.61586,                 1.0615,                0.78576,                 1.0172,               0.000854,               0.000854,               0.000854
                     35,                 1.0208,                0.65453,                 1.0374,                0.80563,                0.83231,                0.90102,                 0.5892,                 1.1006,                0.81093,                 1.0201,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.0516,                0.67452,                 1.0291,                0.86823,                0.82551,                0.90398,                0.60025,                 1.1497,                0.69081,                 1.0363,             0.00082925,             0.00082925,             0.00082925
                     37,                0.99833,                0.63802,                 1.0175,                0.84932,                0.82665,                0.90861,                0.60837,                 1.1216,                 0.6432,                 1.0356,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.0103,                0.62563,                  1.018,                0.81966,                0.84369,                0.88284,                 0.5763,                 1.1678,                0.91254,                 1.0734,              0.0008045,              0.0008045,              0.0008045
                     39,                 0.9779,                0.60735,                 1.0009,                0.86453,                0.86578,                0.92474,                 0.6214,                 1.1562,                 0.6477,                 1.0844,             0.00079213,             0.00079213,             0.00079213
                     40,                0.97664,                0.60989,                 1.0106,                0.85412,                0.84935,                0.92502,                 0.6331,                 1.0949,                0.67413,                 1.0275,             0.00077975,             0.00077975,             0.00077975
                     41,                0.96666,                0.60885,                 1.0105,                0.81975,                0.80619,                0.92637,                0.60421,                 1.0896,                0.65081,                 1.0179,             0.00076738,             0.00076738,             0.00076738
                     42,                0.98942,                0.60555,                0.99651,                0.86579,                0.81966,                0.89543,                0.59463,                 1.1005,                0.66619,                 1.0526,               0.000755,               0.000755,               0.000755
                     43,                0.91971,                0.58358,                 0.9994,                 0.9136,                0.83323,                0.92513,                0.63617,                 1.0698,                0.63022,                 1.0292,             0.00074263,             0.00074263,             0.00074263
                     44,                0.94121,                0.59127,                 1.0072,                0.94272,                0.80878,                0.92424,                0.63939,                  1.071,                0.63141,                 1.0381,             0.00073025,             0.00073025,             0.00073025
                     45,                0.96221,                0.61393,                 1.0076,                0.87007,                0.80298,                0.92265,                0.60574,                 1.1115,                0.66855,                 1.0385,             0.00071788,             0.00071788,             0.00071788
                     46,                0.98321,                0.60082,                 1.0031,                 0.7817,                0.84453,                0.92228,                0.62434,                 1.0664,                0.63048,                 1.0112,              0.0007055,              0.0007055,              0.0007055
                     47,                0.95351,                0.58892,                0.99163,                0.79133,                0.89141,                 0.9255,                0.59822,                 1.0881,                0.60822,                 1.0287,             0.00069313,             0.00069313,             0.00069313
                     48,                 0.9436,                0.58007,                 1.0038,                 0.8849,                0.88202,                0.93458,                0.63268,                 1.0716,                0.57594,                 1.0322,             0.00068075,             0.00068075,             0.00068075
                     49,                0.94899,                0.58352,                0.99399,                0.86068,                0.86857,                0.92709,                0.62197,                 1.1037,                0.59689,                 1.0441,             0.00066838,             0.00066838,             0.00066838
